frame_id,scene,split,round,cond,cam_d,cam_h,cam_yaw,cam_pitch,cam_hfov,cam_y,preset,preset_h,preset_d,occluder_class,occluder_detail,cue_edge_line_contrast,cue_texture_change_across_edge,cue_shadow_line,cue_far_side_visible_depth,cue_nosing_strip,cue_tactile_paving,cue_railing_or_guard,cue_curb_or_upstand,cue_vegetation_edge,cue_water_surface,cue_signage_or_marking,cue_specular_change,cue_geometry_silhouette,m_edge_line_contrast,m_texture_change_across_edge,m_shadow_line,m_far_side_visible_depth,m_nosing_strip,m_tactile_paving,m_railing_or_guard,m_curb_or_upstand,m_vegetation_edge,m_water_surface,m_signage_or_marking,m_specular_change,m_geometry_silhouette,cue_count,cue_count_loadbearing,cue_count_strong,fam_direct_depth,fam_edge_surface,fam_installed,fam_context_veg,cls,cue_list,n_pos_cells,gt_bands,scene_level_fallback
on/scene09/L7__s20260820__0004.png::boost_h,scene09,train,260820_boost_h_on,L7,9.082,0.32,4.37,-7.6,62.51,-0.03,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L7__s20260820__0005.png::boost_e,scene09,train,260820_boost_e_on,L7,7.729,1.207,-4.33,-12.52,62.93,0.387,h0.9_d10,0.9,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,2,1,0,1,0,1,0,cued-H,signage_or_marking|geometry_silhouette,5,3b,0
on/scene09/L7__s20260820__0005.png::boost_h,scene09,train,260820_boost_h_on,L7,7.729,0.258,-4.33,-12.52,62.93,0.387,h0.3_d10,0.3,10.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,0,0,0,0,0,0,0,0,0,0,1,0,0,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,1,1,0,0,0,1,0,cued-H,signage_or_marking,5,3b,0
on/scene09/L7__s20260820__0006.png::boost_e,scene09,train,260820_boost_e_on,L7,6.332,1.531,-1.07,-2.07,64.04,0.088,h1.8_d5,1.8,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L7__s20260820__0006.png::boost_h,scene09,train,260820_boost_h_on,L7,6.332,0.605,-1.07,-2.07,64.04,0.088,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene09/L7__s20260820__0007.png::boost_h,scene09,train,260820_boost_h_on,L7,6.548,0.805,7.75,-9.43,64.97,-0.012,h0.9_d5,0.9,5.0,self_occlusion_crest,terrace lip / 36-step flight self-occluded below the lip,1,0,0,1,0,0,0,0,1,1,0,1,1,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,M2,6,2,2,3,2,0,1,cued-H,edge_line_contrast|far_side_visible_depth|vegetation_edge|water_surface|specular_change|geometry_silhouette,10,3a+3b,0
on/scene12/L0__s20260820__0000.png::boost_e,scene12,train,260820_boost_e_on,L0,7.954,1.296,1.03,-13.03,60.95,-0.14,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3b,0
on/scene12/L0__s20260820__0001.png::boost_e,scene12,train,260820_boost_e_on,L0,9.447,1.851,-3.68,-5.83,61.89,0.034,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260820__0002.png::boost_e,scene12,train,260820_boost_e_on,L0,7.442,1.462,-11.96,-8.85,63.89,-0.606,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260820__0003.png::boost_e,scene12,train,260820_boost_e_on,L0,6.257,1.62,-0.38,-7.87,63.51,0.535,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3a+3b,0
on/scene12/L0__s20260820__0004.png::boost_e,scene12,train,260820_boost_e_on,L0,6.387,1.763,-17.08,-15.83,62.53,0.381,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3a+3b,0
on/scene12/L0__s20260820__0005.png::boost_e,scene12,train,260820_boost_e_on,L0,6.21,1.528,8.78,-11.01,63.36,-0.308,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3a,0
on/scene12/L0__s20260820__0006.png::boost_e,scene12,train,260820_boost_e_on,L0,9.246,1.723,9.77,-15.21,61.05,0.065,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260820__0007.png::boost_e,scene12,train,260820_boost_e_on,L0,10.341,1.872,-6.43,-15.88,63.18,-0.265,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260821__0000.png::boost_e2,scene12,train,260820_boost_e2_on,L0,7.465,0.511,-10.31,-9.64,60.31,-0.571,h0.3_d10,0.3,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,0,0,0,0,0,1,0,1,1,0,0,0,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,3,2,2,1,0,1,1,cued-H,railing_or_guard|vegetation_edge|water_surface,2,3b,0
on/scene12/L0__s20260821__0001.png::boost_e2,scene12,train,260820_boost_e2_on,L0,7.307,0.679,7.44,-10.82,61.46,0.086,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260821__0002.png::boost_e2,scene12,train,260820_boost_e2_on,L0,4.308,0.394,8.88,-15.51,59.11,0.453,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,3,3a,0
on/scene12/L0__s20260821__0003.png::boost_e2,scene12,train,260820_boost_e2_on,L0,4.688,0.374,0.27,-11.2,63.66,0.099,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,3,3a,0
on/scene12/L0__s20260821__0004.png::boost_e2,scene12,train,260820_boost_e2_on,L0,6.355,0.814,14.64,-17.97,63.09,0.227,h0.9_d5,0.9,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,4,3a+3b,0
on/scene12/L0__s20260821__0005.png::boost_e2,scene12,train,260820_boost_e2_on,L0,7.678,0.667,-2.37,-6.9,62.43,-0.681,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L0__s20260821__0006.png::boost_e2,scene12,train,260820_boost_e2_on,L0,5.328,0.602,-5.57,-12.95,60.12,-0.376,h0.9_d5,0.9,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3a,0
on/scene12/L0__s20260821__0007.png::boost_e2,scene12,train,260820_boost_e2_on,L0,5.806,0.337,-1.06,-4.84,60.26,-0.3,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,2,3a,0
on/scene12/L5__s20260820__0000.png::boost_e,scene12,train,260820_boost_e_on,L5,7.954,1.296,1.03,-13.03,60.95,-0.14,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3b,0
on/scene12/L5__s20260820__0001.png::boost_e,scene12,train,260820_boost_e_on,L5,9.447,1.851,-3.68,-5.83,61.89,0.034,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260820__0002.png::boost_e,scene12,train,260820_boost_e_on,L5,7.442,1.462,-11.96,-8.85,63.89,-0.606,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260820__0003.png::boost_e,scene12,train,260820_boost_e_on,L5,6.257,1.62,-0.38,-7.87,63.51,0.535,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3a+3b,0
on/scene12/L5__s20260820__0004.png::boost_e,scene12,train,260820_boost_e_on,L5,6.387,1.763,-17.08,-15.83,62.53,0.381,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3a+3b,0
on/scene12/L5__s20260820__0005.png::boost_e,scene12,train,260820_boost_e_on,L5,6.21,1.528,8.78,-11.01,63.36,-0.308,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3a,0
on/scene12/L5__s20260820__0006.png::boost_e,scene12,train,260820_boost_e_on,L5,9.246,1.723,9.77,-15.21,61.05,0.065,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260820__0007.png::boost_e,scene12,train,260820_boost_e_on,L5,10.341,1.872,-6.43,-15.88,63.18,-0.265,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260821__0000.png::boost_e2,scene12,train,260820_boost_e2_on,L5,7.465,0.511,-10.31,-9.64,60.31,-0.571,h0.3_d10,0.3,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,0,0,0,0,0,1,0,1,1,0,0,0,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,3,2,2,1,0,1,1,cued-H,railing_or_guard|vegetation_edge|water_surface,2,3b,0
on/scene12/L5__s20260821__0001.png::boost_e2,scene12,train,260820_boost_e2_on,L5,7.307,0.679,7.44,-10.82,61.46,0.086,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260821__0002.png::boost_e2,scene12,train,260820_boost_e2_on,L5,4.308,0.394,8.88,-15.51,59.11,0.453,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,3,3a,0
on/scene12/L5__s20260821__0003.png::boost_e2,scene12,train,260820_boost_e2_on,L5,4.688,0.374,0.27,-11.2,63.66,0.099,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,3,3a,0
on/scene12/L5__s20260821__0004.png::boost_e2,scene12,train,260820_boost_e2_on,L5,6.355,0.814,14.64,-17.97,63.09,0.227,h0.9_d5,0.9,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,4,3a+3b,0
on/scene12/L5__s20260821__0005.png::boost_e2,scene12,train,260820_boost_e2_on,L5,7.678,0.667,-2.37,-6.9,62.43,-0.681,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L5__s20260821__0006.png::boost_e2,scene12,train,260820_boost_e2_on,L5,5.328,0.602,-5.57,-12.95,60.12,-0.376,h0.9_d5,0.9,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,1,1,0,0,1,0,1,1,1,1,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,10,5,5,3,4,2,1,cued-H,edge_line_contrast|texture_change_across_edge|shadow_line|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3a,0
on/scene12/L5__s20260821__0007.png::boost_e2,scene12,train,260820_boost_e2_on,L5,5.806,0.337,-1.06,-4.84,60.26,-0.3,h0.3_d5,0.3,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,1,0,1,0,0,1,0,1,1,1,0,1,M2,M2,M2,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,7,4,4,3,1,2,1,cued-H,texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|geometry_silhouette,2,3a,0
on/scene12/L7__s20260820__0000.png::boost_e,scene12,train,260820_boost_e_on,L7,7.954,1.296,1.03,-13.03,60.95,-0.14,h0.9_d10,0.9,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3b,0
on/scene12/L7__s20260820__0001.png::boost_e,scene12,train,260820_boost_e_on,L7,9.447,1.851,-3.68,-5.83,61.89,0.034,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L7__s20260820__0002.png::boost_e,scene12,train,260820_boost_e_on,L7,7.442,1.462,-11.96,-8.85,63.89,-0.606,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L7__s20260820__0003.png::boost_e,scene12,train,260820_boost_e_on,L7,6.257,1.62,-0.38,-7.87,63.51,0.535,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,3,3a+3b,0
on/scene12/L7__s20260820__0004.png::boost_e,scene12,train,260820_boost_e_on,L7,6.387,1.763,-17.08,-15.83,62.53,0.381,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,5,3a+3b,0
on/scene12/L7__s20260820__0005.png::boost_e,scene12,train,260820_boost_e_on,L7,6.21,1.528,8.78,-11.01,63.36,-0.308,h1.8_d5,1.8,5.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3a,0
on/scene12/L7__s20260820__0006.png::boost_e,scene12,train,260820_boost_e_on,L7,9.246,1.723,9.77,-15.21,61.05,0.065,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L7__s20260820__0007.png::boost_e,scene12,train,260820_boost_e_on,L7,10.341,1.872,-6.43,-15.88,63.18,-0.265,h1.8_d10,1.8,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,1,1,0,1,0,0,1,0,1,1,1,1,1,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,9,4,5,3,3,2,1,cued-H,edge_line_contrast|texture_change_across_edge|far_side_visible_depth|railing_or_guard|vegetation_edge|water_surface|signage_or_marking|specular_change|geometry_silhouette,2,3b,0
on/scene12/L7__s20260821__0000.png::boost_e2,scene12,train,260820_boost_e2_on,L7,7.465,0.511,-10.31,-9.64,60.31,-0.571,h0.3_d10,0.3,10.0,self_occlusion_deck_edge,cantilever deck edge; 7.5 m riprap+water band hidden under the open guard,0,0,0,0,0,0,1,0,1,1,0,0,0,M2,M2,M2+cond,M2,M2,M2,M1,M2,M2,M2,M2,M2,M2,3,2,2,1,0,1,1,cued-H,railing_or_guard|vegetation_edge|water_surface,2,3b,0
